sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
finetune_2024-09-07-10-59_samples:AA161	11	22517	51.19243238442066	b0ad1e4f5cbbc47f970cf3af7678e9a5	ColRNAI_rep_cluster_1857,rep_cluster_2401	000008__AJ627566,CP039864_00003	MOBP,MOBP	LT985292_00003,NC_023328_00003	-	-	MOBP,MOBP,MOBP,MOBP	NZ_CP012039,NC_008697,MF083142,NC_008697	mobilizable	CP024615	0.0324062	Escherichia coli	AA161	-	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23800906; 24777092
finetune_2024-09-07-10-59_samples:AC511	18	36846	46.32253161808609	d6407ce755ea428f11c59637cf8faa80	rep_cluster_2350,rep_cluster_2350,rep_cluster_2370	CP041342_00001,CP035723_00002,EU580135_00003	MOBF,MOBP	CP019897,NC_017321_00002	-	-	MOB_unknown,MOB_unknown,MOBP,MOB_unknown,MOBF,MOB_unknown,MOB_unknown	NC_003079,CP010128,MF083142,CP010128,NZ_CP012164,CP017722,CP010128	mobilizable	NC_018996	0.0151872	Escherichia coli	AC511	AL729	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	genus	Escherichia	6263753; 17122402; 26802429
finetune_2024-09-07-10-59_samples:novel_91dc588bb4414b544512342a292b3090	14	28658	48.332053876753434	91dc588bb4414b544512342a292b3090	IncFIB	AP001918	-	-	-	-	-	-	non-mobilizable	CP041531	0.0838645	Escherichia coli	novel_91dc588bb4414b544512342a292b3090	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
finetune_2024-09-07-10-59_samples:AA153	14	28658	52.88575615883872	104cf35dc4e701cb971ed98891c37e24	rep_cluster_2350,rep_cluster_2350,rep_cluster_2370	CP035723_00002,CP041342_00001,CP033698_00001	MOBP,MOBP	LT985292_00003,NC_019076_00002	-	-	MOBP,MOBP,MOBP,MOBP,MOBP	NC_008697,CP010136,NZ_CP016585,NC_008697,NC_008697	mobilizable	CP001387	0.0491	Shigella flexneri 2002017	AA153	AH795	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	genus	Escherichia	6263753; 17122402; 26802429
finetune_2024-09-07-10-59_samples:AB692	8	16376	43.65534929164631	9d2e969b4ab17b6cf385cd920f6c8495	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP	NC_018997,NC_018997,NC_018997,NC_018997,NC_018997,NC_018997,NC_018997	mobilizable	DQ995351	0.0241368	Escherichia coli	AB692	AK572	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
finetune_2024-09-07-10-59_samples:AA576	14	28658	52.048293670179355	1245d2b9f6bc303493e259e554f21d2d	Col156,rep_cluster_2131,rep_cluster_2131,rep_cluster_2141	CP001126_00001,CP041341_00001,CP010218_00004,HQ201416_00001	MOBQ	NZ_AWFJ01000122_00007	-	-	MOBQ,MOBQ,MOBQ,MOBQ	DQ318958,DQ318958,NC_019013,NZ_CP011431	mobilizable	NC_022585	0.0242917	Shigella sonnei	AA576	AI790	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
finetune_2024-09-07-10-59_samples:AA976	3	6141	45.985995766161864	3284c35f3017339c5ccb9f329afe2aab	-	-	-	-	-	-	-	-	non-mobilizable	DQ995354	0.0404475	Escherichia coli	AA976	-	genus	Escherichia	genus	Escherichia	-	-	-
finetune_2024-09-07-10-59_samples:AC509	5	10235	49.57498778700538	88d9927374764a9fa8d5ccdf6ddfdc7c	rep_cluster_2350	CP041342_00001	MOBP,MOBP	LT985292_00003,NC_019076_00002	-	-	MOBP	MF083142	mobilizable	CP012628	0.0222766	Escherichia coli	AC509	AL724	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	genus	Escherichia	6263753; 17122402; 26802429
finetune_2024-09-07-10-59_samples:AA979	1	2047	51.196873473375675	7e9fb92bd01e7bd07cb440444bdaab32	-	-	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	NC_016840	0.0229306	Klebsiella pneumoniae subsp. pneumoniae HS11286	AA979	AJ483	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
finetune_2024-09-07-10-59_samples:AA676	1	2047	43.429408891060085	5ad2ee5bc5ceb5b5172e8ab609008271	rep_cluster_2358	CP000974_00005	-	-	-	-	-	-	non-mobilizable	CP045830	0.028588	Escherichia coli	AA676	-	phylum	Proteobacteria	order	Enterobacterales	phylum	Proteobacteria	24096417
finetune_2024-09-07-10-59_samples:AA147	7	14329	50.017447135180404	b83dbfedf3523d94d0b3a8ab7f9fc3cb	rep_cluster_2350,rep_cluster_2350,rep_cluster_2370	CP035723_00002,CP035723_00002,CP033698_00001	MOBP,MOBP,MOBP,MOBP	NC_022662_00003,NC_017321_00002,LT985292_00003,NZ_AWFJ01000135_00009	-	-	MOBP,MOBP	NZ_CP016533,MF083142	mobilizable	CP028175	0.025484	Salmonella enterica	AA147	-	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	genus	Escherichia	6263753; 17122402; 26802429
finetune_2024-09-07-10-59_samples:AC409	1	2047	56.52173913043478	2f97f01a951a45bf6e0c85f7c12fe6b2	-	-	-	-	-	-	-	-	non-mobilizable	KP143090	0.0535266	Escherichia coli	AC409	-	genus	Escherichia	genus	Escherichia	-	-	-
finetune_2024-09-07-10-59_samples:novel_50b6628996dd49baf3b3719e188efc05	3	6141	49.161374368995276	50b6628996dd49baf3b3719e188efc05	IncFIC	CP003035	-	-	-	-	-	-	non-mobilizable	CP019692	0.0872439	Shigella sonnei	novel_50b6628996dd49baf3b3719e188efc05	-	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	28842132
finetune_2024-09-07-10-59_samples:AA155	3	6141	41.78472561472073	096be1c7bb9ac217eda93aa93fd6cd7c	-	-	MOBP	NC_019076_00002	-	-	-	-	mobilizable	HQ622576	0.0205456	Escherichia coli	AA155	AH798	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
finetune_2024-09-07-10-59_samples:AB443	1	2047	53.88373229115779	0bc91af871f395487413e566e05817d2	-	-	MOBP	LT985292_00003	-	-	MOBP	KY421937	mobilizable	CP035351	0.0509537	Escherichia coli	AB443	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
finetune_2024-09-07-10-59_samples:AA672	2	4094	48.827552515876896	ed9666ccee068fc2fa3ea3aa41c3eb7f	rep_cluster_2350,rep_cluster_2350	CP041342_00001,CP035723_00002	MOBF	CP019897	-	-	MOB_unknown,MOBP	CP010224,NZ_CP016533	mobilizable	CP031925	0.026819	Escherichia coli O26:H11	AA672	-	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	genus	Escherichia	6263753; 17122402; 26802429
finetune_2024-09-07-10-59_samples:novel_da7a8479f526622d0573f7c217047138	1	2047	48.31460674157304	da7a8479f526622d0573f7c217047138	rep_cluster_2141	HQ201416_00001	-	-	-	-	-	-	non-mobilizable	CP043022	0.0662649	Escherichia coli	novel_da7a8479f526622d0573f7c217047138	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
finetune_2024-09-07-10-59_samples:AA142	2	4094	50.757205666829506	92cb6001342aaef226e57928e2180d66	-	-	-	-	-	-	-	-	non-mobilizable	CP028323	0.0593303	Escherichia coli O18:H1	AA142	-	genus	Escherichia	genus	Escherichia	-	-	-
finetune_2024-09-07-10-59_samples:AA162	1	2047	40.25403028822667	b7b94595d282f68d6acb37d688cd1232	ColRNAI_rep_cluster_1857	GQ470395_00001	-	-	-	-	-	-	non-mobilizable	CP039570	0.0466675	Salmonella enterica subsp. enterica	AA162	-	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23800906; 24777092
finetune_2024-09-07-10-59_samples:AB060	1	2047	46.94675134342941	aec611f4f1e83bd96127a0aa7d33eb43	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	AJ001708	mobilizable	AP019680	0.0434809	Escherichia coli	AB060	-	multi-phylla	Actinobacteria,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Proteobacteria,Firmicutes	order	Enterobacterales	20008783
