id,cluster,split,finetune
AP022895.1,27863,train,False
AP022896.1,27864,train,False
AP022897.1,279,train,False
AP022898.1,27865,train,False
AP022899.1,138,train,False
AP022900.1,418,train,False
AP022901.1,418,train,False
AP022902.1,27866,train,False
AP023006.1,27859,val,False
AP023007.1,27848,train,False
AP023008.1,27839,train,False
AP023009.1,27847,train,False
AP023010.1,54,train,False
AP023011.1,27831,train,False
AP023012.1,418,train,False
AP023013.1,27832,train,False
AP023015.1,27833,train,False
AP023016.1,27834,train,False
AP023017.1,27835,train,False
AP023018.1,27836,val,False
AP023019.1,27837,train,False
AP023020.1,27830,train,False
AP023021.1,27838,test,False
AP023022.1,27840,train,False
AP023023.1,498,train,False
AP023024.1,340,train,False
AP023025.1,27841,train,False
AP023026.1,27842,val,False
AP023241.1,27843,train,False
AP023265.1,27844,train,False
AP023266.1,27845,train,False
AP023267.1,27846,train,False
AP023274.1,27947,train,False
AP023275.1,27948,train,False
AP023276.1,27949,train,False
AP023277.1,28029,train,False
AP023278.1,28051,train,False
AP023281.1,28052,test,False
AP023282.1,28053,train,False
AP023283.1,28054,train,False
AP023284.1,28055,train,False
AP023285.1,28056,train,False
AP023409.1,28057,train,False
AP024098.1,28050,train,False
AP024100.1,28058,val,False
AP024102.1,28060,val,False
AP024104.1,28061,train,False
AP024106.1,28062,train,False
AP024108.1,28063,train,False
AP024132.2,28064,train,False
AP024133.2,28065,test,False
AP024153.1,28066,train,False
AP024158.1,28059,train,False
AP024160.1,28048,val,False
AP024162.1,28039,train,False
AP024163.1,28047,train,False
AP024278.1,28031,train,False
AP024279.1,28032,train,False
AP024346.1,971,train,False
AP024350.1,28033,train,False
AP024353.1,26,train,False
AP024411.1,51,train,False
AP024472.1,28034,val,False
AP024474.1,28035,train,False
AP024476.1,28036,train,False
AP024477.1,28037,train,False
AP024479.1,28030,test,False
AP024496.1,28038,train,False
AP024497.1,28040,train,False
AP024583.1,28041,train,False
AP024584.1,28042,train,False
AP024591.1,28043,test,False
AP024632.1,28044,train,False
AP024633.1,28045,train,False
AP024635.1,28046,train,False
AP024638.1,28067,train,False
AP024640.1,28049,train,False
AP024642.1,28068,train,False
AP024645.1,28089,test,False
AP024662.1,28091,train,False
AP024663.1,28092,test,False
AP024695.1,28093,train,False
AP024696.1,28094,train,False
AP024697.1,124,val,True
AP024699.1,0,train,True
AP024700.1,24,train,True
AP024701.1,141,train,True
AP024711.1,28095,train,False
AP024868.1,326,train,False
AP024877.1,28096,train,False
AP024880.1,326,train,False
AP024891.1,28097,train,False
AP024892.1,326,train,False
AP024915.1,239,val,False
AP024920.1,10,train,False
AP024970.1,28090,val,False
AP024971.1,28098,train,False
AP024972.1,218,test,False
AP024974.1,28100,train,False
AP024975.1,28101,test,False
AP024978.1,28102,train,False
AP024980.1,28103,train,False
AP024981.1,28104,train,False
AP024983.1,28105,val,False
AP025019.1,28106,train,False
AP025020.1,28099,train,False
AP025021.1,28088,train,False
AP025022.1,28079,train,False
AP025023.1,28087,train,False
AP025024.1,28071,train,False
AP025025.1,28072,train,False
AP025026.1,28073,train,False
AP025027.1,28074,train,False
AP025276.1,28075,train,False
AP025287.1,28076,train,False
AP025289.1,28077,val,False
AP025290.1,28070,train,False
AP025291.1,254,train,False
AP025293.1,28078,test,False
AP025294.1,28080,train,False
AP025295.1,28081,train,False
AP025296.1,28082,train,False
AP025297.1,28083,train,False
AP025298.1,28084,val,False
AP025299.1,28085,train,False
AP025300.1,28086,train,False
AP025301.1,28069,train,False
AP025302.1,28028,test,False
AP025303.1,27989,train,False
AP025304.1,28027,train,False
AP025306.1,27971,train,False
AP025307.1,27972,train,False
AP025308.1,27973,train,False
AP025309.1,27974,train,False
AP025310.1,27975,val,False
AP025311.1,27976,train,False
AP025312.1,27977,test,False
AP025313.1,219,train,False
AP025315.1,27970,train,False
AP025316.1,27978,train,False
AP025317.1,27980,train,False
AP025318.1,27981,train,False
AP025319.1,27982,val,False
AP025320.1,27983,train,False
AP025321.1,27984,train,False
AP025322.1,27985,test,False
AP025323.1,27986,train,False
AP025324.1,27979,train,False
AP025325.1,27968,test,False
AP025326.1,27959,train,False
AP025327.1,27967,train,False
AP025328.1,219,train,False
AP025330.1,968,val,False
AP025536.1,27951,train,False
AP025537.1,27952,train,False
AP025538.1,27953,train,False
AP025588.1,438,test,False
AP025629.1,438,test,False
AP025641.1,27954,val,False
AP025646.1,396,train,False
AP025654.1,27955,train,False
AP025656.1,396,train,False
AP025670.1,27956,train,False
AP025671.1,27957,train,False
AP025672.1,400,val,False
AP025673.1,27950,train,False
AP025674.1,27958,test,False
AP025691.1,27960,train,False
AP025950.1,27961,val,False
AP025952.1,27962,train,False
AP025954.1,27963,train,False
AP025956.1,27964,train,False
AP025958.1,27965,train,False
AP025960.1,27966,train,False
AP025962.1,27987,train,False
AP025964.1,27969,train,False
AP025967.1,27988,train,False
AP025969.1,28009,train,False
AP025971.1,28011,train,False
AP025973.1,28012,train,False
AP025975.1,28013,train,False
AP025976.1,215,train,False
AP025978.1,28014,train,False
AP025980.1,28015,test,False
AP025982.1,28016,val,False
AP025984.1,28017,train,False
AP025986.1,28010,train,False
AP025988.1,28018,train,False
AP025989.1,28020,train,False
AP025991.1,28021,train,False
AP025993.1,28022,train,False
AP025994.1,215,train,False
AP025997.1,28023,train,False
AP025998.1,28024,train,False
AP026000.1,28025,train,False
AP026002.1,28026,val,False
AP026004.1,28019,train,False
AP026006.1,28008,train,False
AP026008.1,27999,train,False
AP026010.1,28007,train,False
AP026012.1,27991,train,False
AP026013.1,215,train,False
AP026015.1,27992,train,False
AP026066.1,27993,val,False
AP026067.1,27994,train,False
AP026383.1,27995,test,False
AP026384.1,27996,train,False
AP026386.1,27997,train,False
AP026387.1,27990,train,False
AP026388.1,13,train,False
AP026389.1,198,test,False
AP026390.1,26,train,False
AP026391.1,52,train,False
AP026443.1,326,train,False
AP026445.1,188,train,False
AP026470.1,2,train,True
AP026477.1,27998,train,False
AP026478.1,28000,train,False
AP026480.1,28001,train,False
AP026481.1,28002,train,False
AP026482.1,0,train,True
AP026483.1,25,train,True
AP026515.1,28003,test,False
AP026516.1,28004,val,False
AP026517.1,3,train,True
AP026519.1,28005,train,False
AP026520.1,28006,train,False
AP026521.1,27789,train,False
AP026522.1,27788,train,False
AP026523.1,0,train,True
AP026524.1,83,train,True
AP026537.1,27787,test,True
AP026557.1,27786,train,False
AP026574.1,27569,train,False
AP026576.1,27570,train,False
AP026577.1,27571,train,False
AP026578.1,30,train,False
AP026580.1,27572,train,False
AP026582.1,27573,test,False
AP026583.1,190,train,False
AP026584.1,90,train,False
AP026585.1,40,train,False
AP026587.1,27574,train,False
AP026589.1,27575,val,False
AP026590.1,61,train,False
AP026591.1,61,train,False
AP026592.1,40,train,False
AP026594.1,27568,test,False
AP026596.1,27576,train,False
AP026597.1,190,train,False
AP026598.1,190,train,False
AP026599.1,90,train,False
AP026600.1,40,train,False
AP026618.1,27578,train,False
AP026620.1,27579,train,False
AP026621.1,27580,train,False
AP026622.1,61,train,False
AP026623.1,50,train,False
AP026624.1,30,train,False
AP026625.1,30,train,False
AP026626.1,90,train,False
AP026627.1,40,train,False
AP026629.1,27581,train,False
AP026631.1,27582,train,False
AP026633.1,27583,val,False
AP026635.1,27584,train,False
AP026636.1,27577,train,False
AP026637.1,537,train,False
AP026638.1,50,train,False
AP026639.1,30,train,False
AP026640.1,40,train,False
AP026642.1,27566,train,False
AP026644.1,27557,test,False
AP026645.1,27565,train,False
AP026646.1,50,train,False
AP026647.1,190,train,False
AP026648.1,30,train,False
AP026649.1,90,train,False
AP026651.1,27549,train,False
AP026653.1,27550,train,False
AP026654.1,190,train,False
AP026719.1,27551,train,False
AP026727.1,27552,val,False
AP026730.1,27553,train,False
AP026740.1,27554,train,False
AP026741.1,27555,train,False
AP026743.1,27548,val,False
AP026744.1,27556,train,False
AP026745.1,13,train,True
AP026747.1,27558,train,False
AP026748.1,27559,train,False
AP026749.1,3,train,True
AP026750.1,31,train,True
AP026752.1,27560,train,False
AP026753.1,27561,train,False
AP026755.1,27562,train,False
AP026756.1,27563,train,False
AP026757.1,27564,val,False
AP026758.1,27585,train,False
AP026760.1,27567,train,False
AP026762.1,27586,train,False
AP026799.1,27607,train,False
AP026805.1,27609,train,False
AP026807.1,27610,train,False
AP026809.1,27611,train,False
AP026810.1,27612,train,False
AP026812.1,27613,train,False
AP026813.1,27614,train,False
AP026815.1,27615,train,False
AP026817.1,27608,train,False
AP026819.1,27616,val,False
AP026820.1,27618,train,False
AP026822.1,27619,train,False
AP026824.1,27620,train,False
AP026826.1,27621,train,False
AP026941.1,27622,val,False
AP026943.1,27623,train,False
AP026944.1,12,train,False
AP026971.1,27624,train,False
AP027245.1,27617,test,False
AP027409.1,27606,train,False
AP027410.1,27597,train,False
AP027447.1,27605,val,False
AP027448.1,27589,test,False
AP027449.1,27590,train,False
AP027451.1,27591,train,False
AP028091.1,326,train,False
AP028112.1,326,train,False
AP028113.1,125,train,False
AP028114.1,725,train,False
AP028117.1,326,train,False
AP028118.1,125,train,False
AP028120.1,248,train,False
AP028121.1,326,train,False
AP028122.1,125,train,False
AP028333.1,27592,train,False
AP028339.1,27593,train,False
AP028343.1,27594,train,False
AP028347.1,27595,test,False
AP028349.1,27588,train,False
AP028354.1,27596,train,False
AP028356.1,27598,val,False
AP028364.1,27599,train,False
AP028366.1,27600,train,False
AP028368.1,27601,train,False
AP028372.1,27602,train,False
AP028373.1,27603,train,False
AP028375.1,27604,test,False
AP028377.1,27587,train,False
AP028379.1,27547,test,False
AP028389.1,27546,train,False
AP028391.1,27545,train,False
AP028394.1,27489,train,False
AP028397.1,27490,train,False
AP028400.1,27491,train,False
AP028403.1,27492,train,False
AP028405.1,27493,train,False
AP028406.1,27494,train,False
AP028410.1,27495,test,False
AP028411.1,27488,train,False
AP028416.1,27496,train,False
AP028417.1,27498,val,False
AP028418.1,50,train,False
AP028419.1,61,train,False
AP028421.1,27499,train,False
AP028463.1,27500,train,False
AP028465.1,151,test,False
AP028468.1,77,train,False
AP028469.1,4,train,False
AP028470.1,35,train,False
AP028471.1,17,train,False
AP028474.1,27501,train,False
AP028475.1,10,train,False
AP028477.1,27502,train,False
AP028479.1,27503,train,False
AP028481.1,27504,test,False
AP028482.1,27497,train,False
AP028484.1,14,train,False
AP028486.1,27487,train,False
AP028488.1,72,train,False
AP028489.1,17,train,False
AP028492.1,27486,train,False
AP028494.1,27485,test,False
AP028496.1,27468,test,False
AP028498.1,27469,val,False
AP028500.1,27470,train,False
AP028504.1,16,train,False
AP028507.1,27471,train,False
AP028508.1,27472,train,False
AP028509.1,27473,train,False
AP028512.1,27474,train,False
AP028514.1,27475,val,False
AP028515.1,27476,train,False
AP028516.1,27477,train,False
AP028518.1,27478,train,False
AP028521.1,27479,test,False
AP028524.1,27480,train,False
AP028526.1,27481,val,False
AP028528.1,17,train,False
AP028532.1,17,train,False
AP028537.1,27482,train,False
AP028538.1,13,train,False
AP028541.1,96,train,False
AP028542.1,14,train,False
AP028546.1,27483,train,False
AP028550.1,27484,train,False
AP028551.1,27505,val,False
AP028552.1,12,train,False
AP028553.1,192,train,False
AP028554.1,10,train,False
AP028555.1,173,train,False
AP028557.1,27506,train,False
AP028558.1,27507,train,False
AP028560.1,17,train,False
AP028562.1,27527,train,False
AP028563.1,27529,train,False
AP028564.1,27530,train,False
AP028565.1,27531,train,False
AP028567.1,430,train,False
AP028568.1,12,train,False
AP028569.1,198,test,False
AP028570.1,17,train,False
AP028572.1,10,train,False
AP028573.1,17,train,False
AP028575.1,27532,train,False
AP028578.1,27533,test,False
AP028582.1,27534,train,False
AP028587.1,27535,train,False
AP028589.1,27528,train,False
AP028591.1,27536,train,False
AP028593.1,27538,val,False
AP028595.1,27539,train,False
AP028597.1,27540,train,False
AP028600.1,27541,train,False
AP028612.1,606,train,False
AP028811.1,27542,train,False
AP028812.1,27543,train,False
AP028813.1,27544,train,False
AP028816.1,27537,train,False
AP028817.1,27526,val,False
AP028818.1,27517,val,False
AP028819.1,27525,train,False
AP028820.1,27509,train,False
AP028821.1,27510,train,False
AP028823.1,27511,train,False
AP028824.1,27512,train,False
AP028825.1,27513,test,False
AP028826.1,27514,train,False
AP028828.1,27515,train,False
AP028829.1,27508,train,False
AP028830.1,27516,train,False
AP028831.1,27518,train,False
AP028833.1,27519,train,False
AP028834.1,27520,train,False
AP028835.1,27521,test,False
AP028836.1,27522,train,False
AP028838.1,27523,train,False
AP028839.1,27524,train,False
AP028840.1,27625,train,False
AP028843.1,27467,train,False
AP028844.1,27626,train,False
AP028845.1,27628,train,False
AP028846.1,27730,train,False
AP028848.1,27731,train,False
AP028849.1,27732,val,False
AP028850.1,27733,train,False
AP028853.1,27734,train,False
AP028854.1,27735,train,False
AP028855.1,27736,test,False
AP028856.1,27729,train,False
AP028857.1,27737,train,False
AP028859.1,27739,train,False
AP028860.1,27740,train,False
AP028861.1,27741,train,False
AP028862.1,27742,train,False
AP028868.1,81,train,False
AP028870.1,27743,val,False
AP028871.1,27744,train,False
AP028872.1,27745,test,False
AP028873.1,27738,train,False
AP028874.1,37,train,True
AP028879.1,27727,train,False
AP028966.1,27718,val,False
AP028969.1,27726,train,False
AP028970.1,27710,train,False
AP028971.1,27711,train,False
AP028985.1,27712,train,False
AY027524.1,27713,train,False
AY123047.1,976,train,False
CM001901.1,27714,test,False
CM001903.1,27715,train,False
CP000054.1,27716,train,False
CP000055.1,27709,test,False
CP000228.1,27717,train,False
CP000229.1,27719,train,False
CP000522.1,149,train,False
CP000540.1,27720,train,False
CP000541.1,27721,val,False
CP000579.1,27722,train,False
CP000617.1,27723,test,False
CP000618.1,27724,train,False
CP000619.1,27725,train,False
CP000620.1,27746,train,False
CP000621.1,27728,train,False
CP000630.1,27747,train,False
CP000631.1,27768,train,False
CP000632.1,27770,train,False
CP000700.1,27771,train,False
CP000701.1,27772,val,False
CP000782.1,27773,train,False
CP000876.1,27774,train,False
CP000877.1,27775,test,False
CP000983.1,27776,train,False
CP001057.1,27769,val,False
CP001075.1,27777,train,False
CP001076.1,27779,train,False
CP001077.1,27780,train,False
CP001136.1,27781,train,False
CP001178.1,374,test,False
CP001179.1,27782,train,False
CP001180.1,27783,train,False
CP001181.1,222,train,False
CP001770.1,27784,val,False
CP001771.1,27785,train,False
CP001772.1,27778,train,False
CP001773.1,27767,train,False
CP001774.1,27758,train,False
CP001775.1,27766,train,False
CP001776.1,27750,train,False
CP001777.1,27751,train,False
CP002030.1,27752,train,False
CP002145.1,27753,train,False
CP002147.1,27754,train,False
CP002151.1,27755,test,False
CP002152.1,27756,train,False
CP002153.1,27749,train,False
CP002155.1,27757,train,False
CP002166.1,27759,val,False
CP002441.1,27760,train,False
CP002509.1,27761,test,False
CP002510.1,27762,train,False
CP002523.1,104,val,False
CP002524.1,27763,train,False
CP002527.1,27764,train,False
CP002934.1,27765,train,False
CP002935.1,27748,train,False
CP002936.1,27708,train,False
CP002937.1,27707,train,False
CP002938.1,27706,train,False
CP002939.1,27650,train,False
CP002940.1,27651,train,False
CP002941.1,27652,val,False
CP003042.1,27653,train,False
CP003090.1,27654,train,False
CP003091.1,27655,train,False
CP003092.1,27656,train,False
CP003180.1,27649,train,False
CP003296.1,27657,train,False
CP003352.1,27659,test,False
CP003353.1,30,train,False
CP003354.1,30,train,False
CP003404.1,27660,train,False
CP003420.1,27661,train,False
CP003669.1,236,test,False
CP003688.1,412,train,False
CP003689.1,27662,train,False
CP003690.1,27663,train,False
CP003691.1,27664,val,False
CP003692.1,27665,train,False
CP003693.1,27658,train,False
CP003694.1,27648,val,False
CP003722.1,27647,train,False
CP003748.1,27646,train,False
CP003749.1,27629,train,False
CP003750.1,27630,train,False
CP003751.1,222,train,False
CP003812.1,126,train,False
CP003813.1,126,train,False
CP003817.1,126,train,False
CP003927.1,27631,train,False
CP003950.1,27632,test,False
CP003951.1,27633,train,False
CP003983.1,27634,train,False
CP004058.1,27635,train,False
CP004059.1,19,train,False
CP004060.1,5,train,False
CP004361.1,553,train,False
CP004362.1,585,train,False
CP004363.1,27636,train,False
CP004364.1,27637,train,False
CP004365.1,27638,train,False
CP004847.1,27639,val,False
CP005999.1,27640,train,False
CP006000.1,27641,test,False
CP006001.1,27642,train,False
CP006002.1,27643,train,False
CP006582.2,27644,train,False
CP006583.2,27645,train,False
CP006657.1,27666,train,False
CP006658.1,6,train,False
CP006737.1,27667,train,False
CP006767.1,27668,test,False
CP006904.1,27688,val,False
CP007042.1,27690,train,False
CP007043.1,27691,test,False
CP007052.1,27692,train,False
CP007054.1,27693,val,False
CP007068.1,27694,train,False
CP007069.1,27695,train,False
CP007070.1,27696,train,False
CP007150.1,27689,train,False
CP007157.1,27697,train,False
CP007558.1,27699,train,False
CP007578.1,33,train,False
CP007579.1,27700,val,False
CP007580.1,27701,train,False
CP007642.1,27702,train,False
CP007643.1,27703,train,False
CP007644.1,27704,train,False
CP007645.1,27705,train,False
CP007752.1,27698,train,False
CP008701.1,27687,train,False
CP008789.1,27678,test,False
CP008790.1,27686,train,False
CP008791.1,27670,train,False
CP008904.1,27671,train,False
CP008937.1,27672,train,False
CP008938.1,27673,train,False
CP008939.1,27674,train,False
CP008940.1,27675,val,False
CP009060.1,27676,train,False
CP009068.1,27669,train,False
CP009069.1,27677,train,False
CP009070.1,27679,train,False
CP009071.1,27680,train,False
CP009118.1,27681,test,False
CP009218.1,27682,train,False
CP009219.1,27683,train,False
CP009363.1,27684,train,False
CP009368.1,27685,train,False
CP009589.1,28107,train,False
CP009591.1,28108,train,False
CP009592.1,28109,train,False
CP009627.1,28430,train,False
CP009763.1,28533,train,False
CP009851.1,28534,train,False
CP009852.1,28535,train,False
CP009853.1,28536,train,False
CP009855.1,28537,val,False
CP009856.1,28538,train,False
CP009857.1,28539,test,False
CP009867.1,28532,train,False
CP009868.1,28540,train,False
CP009869.1,28542,train,False
CP009870.1,28543,train,False
CP009871.1,28544,train,False
CP009881.1,28545,val,False
CP009882.1,28546,train,False
CP009883.1,28547,train,False
CP009884.1,28548,test,False
CP009911.1,28541,train,False
CP009939.1,28530,train,False
CP009940.1,28521,train,False
CP010325.1,28529,train,False
CP010326.1,28513,train,False
CP010513.1,28514,test,False
CP010856.1,28515,train,False
CP010857.1,28516,train,False
CP010859.1,28517,train,False
CP010860.1,28518,val,False
CP010861.1,28519,train,False
CP010863.1,28512,train,False
CP010864.1,28520,test,False
CP010865.1,28522,train,False
CP010866.1,28523,train,False
CP011314.1,28524,train,False
CP011315.1,4,train,False
CP011316.1,270,train,False
CP011599.1,28525,train,False
CP011600.1,28526,train,False
CP011601.1,28527,val,False
CP011625.1,132,train,False
CP011626.1,66,val,False
CP011627.1,6,train,False
CP011628.1,28528,train,False
CP011630.1,28549,train,False
CP011631.1,28531,train,False
CP011632.1,28550,train,False
CP011633.1,28571,train,False
CP011634.1,28573,train,False
CP011635.1,28574,train,False
CP011833.1,28575,train,False
CP011990.1,28576,test,False
CP011991.1,28577,train,False
CP011993.1,6,train,False
CP011998.1,28578,val,False
CP012113.1,28579,train,False
CP012114.1,28572,train,False
CP012385.1,28580,train,False
CP012386.1,28582,train,False
CP012488.1,154,train,False
CP012489.1,18,train,False
CP012490.1,184,train,False
CP012494.1,28583,train,False
CP012495.1,28584,train,False
CP012496.1,28585,train,False
CP012848.1,28586,train,False
CP012891.1,28587,test,False
CP012892.1,28588,val,False
CP012893.1,28581,train,False
CP012895.1,28570,train,False
CP012896.1,28561,train,False
CP013001.1,28569,train,False
CP013100.1,28553,train,False
CP013721.1,28554,train,False
CP013769.1,28555,train,False
CP013770.1,28556,val,False
CP013771.1,28557,train,False
CP013772.1,28558,train,False
CP013822.1,28559,train,False
CP013823.1,28552,train,False
CP013824.1,28560,train,False
CP013825.1,28562,train,False
CP013836.1,28563,train,False
CP013914.1,28564,train,False
CP013915.1,28565,train,False
CP013927.1,28566,test,False
CP013960.1,28567,train,False
CP014066.2,28568,val,False
CP014198.2,3,train,True
CP014199.1,28551,test,False
CP014200.1,28511,train,False
CP014292.1,28510,train,False
CP014293.1,28509,train,False
CP014295.1,28453,test,False
CP014296.1,28454,train,False
CP014297.1,28455,train,False
CP014298.1,28456,train,False
CP014299.1,28457,train,False
CP014300.1,43,train,False
CP014330.2,28458,train,False
CP014336.1,28459,train,False
CP014450.1,28452,val,False
CP014451.1,28460,test,False
CP014452.1,28462,train,False
CP014493.1,28463,train,False
CP014494.1,28464,train,False
CP014577.1,28465,val,False
CP014652.1,28466,train,False
CP014653.1,28467,train,False
CP014654.1,28468,train,False
CP014655.1,64,train,False
CP014656.1,28461,train,False
CP014753.1,28451,train,False
CP014769.1,28450,train,False
CP014770.1,28449,train,False
CP014772.1,201,val,False
CP014788.1,28432,train,False
CP014789.1,219,train,False
CP014964.1,28433,train,False
CP015491.1,28434,test,False
CP015492.1,28435,train,False
CP015590.1,792,train,False
CP015591.1,28436,train,False
CP015592.1,28437,val,False
CP015599.1,28438,train,False
CP015627.1,15,test,False
CP015628.1,28439,train,False
CP015851.1,28440,train,False
CP016074.1,32,train,False
CP016075.1,32,train,False
CP016080.1,28441,train,False
CP016195.1,28442,val,False
CP016196.1,28443,train,False
CP016197.1,28444,train,False
CP016198.1,28445,train,False
CP016217.1,28446,test,False
CP016219.1,163,test,False
CP016317.1,28447,train,False
CP016334.1,320,train,False
CP016466.1,28448,train,False
CP016473.1,253,val,False
CP016526.1,28469,train,False
CP016527.1,270,train,False
CP016528.1,72,train,False
CP016529.1,28470,train,False
CP016555.1,28471,train,False
CP016582.1,20,val,False
CP016583.1,28491,val,False
CP016584.1,3,train,False
CP016585.1,28493,train,False
CP016613.1,28494,train,False
CP016641.1,28495,train,False
CP016642.1,28496,train,False
CP016643.1,28497,train,False
CP016691.1,350,val,False
CP016692.1,560,train,False
CP016693.1,959,train,False
CP016763.1,28498,test,False
CP016764.1,28499,train,False
CP016765.1,28492,train,False
CP017093.1,294,train,False
CP017386.1,28500,train,False
CP017387.1,28502,val,False
CP017388.1,1,train,False
CP017422.1,28503,train,False
CP017423.1,28504,train,False
CP017424.1,28505,train,False
CP017425.1,28506,train,False
CP017426.1,28507,train,False
CP017618.1,28508,test,False
CP017619.1,20,val,False
CP017693.1,28501,train,False
CP017949.1,28490,train,False
CP018001.1,28481,train,False
CP018090.1,28489,train,False
CP018357.1,43,train,False
CP018358.1,4,train,False
CP018359.1,72,train,False
CP018360.1,28473,train,False
CP018361.1,28474,train,False
CP018457.1,28475,train,False
CP018459.1,28476,test,False
CP018460.1,28477,val,False
CP018461.1,28478,train,False
